ACE:CH3-NME:CH3 (Å)	RMSD-ALA (Å)	PMF(kcal/mol)

@    xaxis  label "RC1"
@    yaxis  label "RC2"
@TYPE xy
4.8949 	-0.5741 	31.3633727506
4.8949 	0.4259 	31.3633727506
4.8949 	1.4259 	31.3633727506
4.8949 	2.4259 	31.3633727506
4.8949 	3.4259 	31.3633727506
4.8949 	4.4259 	31.3633727506
4.8949 	5.4259 	31.3633727506
4.8949 	6.4259 	31.3633727506
4.8949 	7.4259 	31.3633727506
4.8949 	8.4259 	31.3633727506
4.8949 	9.4259 	31.3633727506
5.8949 	-0.5741 	31.3633727506
5.8949 	0.4259 	6.24391018546
5.8949 	1.4259 	31.3633727506
5.8949 	2.4259 	3.84061582791
5.8949 	3.4259 	6.65709521979
5.8949 	4.4259 	4.56868162547
5.8949 	5.4259 	2.37518549179
5.8949 	6.4259 	1.4456166458
5.8949 	7.4259 	0.275041695977
5.8949 	8.4259 	31.3633727506
5.8949 	9.4259 	31.3633727506
6.8949 	-0.5741 	31.3633727506
6.8949 	0.4259 	4.30175883914
6.8949 	1.4259 	4.48873010998
6.8949 	2.4259 	3.6849721828
6.8949 	3.4259 	3.78530847315
6.8949 	4.4259 	1.82109574675
6.8949 	5.4259 	1.722487393
6.8949 	6.4259 	0.0
6.8949 	7.4259 	0.313080986279
6.8949 	8.4259 	0.589896047742
6.8949 	9.4259 	31.3633727506
7.8949 	-0.5741 	31.3633727506
7.8949 	0.4259 	31.3633727506
7.8949 	1.4259 	31.3633727506
7.8949 	2.4259 	31.3633727506
7.8949 	3.4259 	31.3633727506
7.8949 	4.4259 	31.3633727506
7.8949 	5.4259 	31.3633727506
7.8949 	6.4259 	31.3633727506
7.8949 	7.4259 	31.3633727506
7.8949 	8.4259 	31.3633727506
7.8949 	9.4259 	31.3633727506
